Date,Close/Last,Volume,Open,High,Low
04/29/2022,$8.53,N/A,$8.53,$8.53,$8.53
04/28/2022,$8.53,N/A,$8.53,$8.53,$8.53
04/27/2022,$8.53,N/A,$8.53,$8.53,$8.53
04/26/2022,$8.53,N/A,$8.53,$8.53,$8.53
04/25/2022,$8.53,N/A,$8.53,$8.53,$8.53
04/22/2022,$8.53,377836,$8.53,$8.53,$8.53
04/21/2022,$8.7,66921,$8.7,$8.7,$8.7
04/20/2022,$8.72,67021,$8.7745,$8.7745,$8.72
04/19/2022,$8.612,21264,$8.612,$8.612,$8.612
04/18/2022,$8.848,380,$8.848,$8.848,$8.848
04/14/2022,$9.7,N/A,$9.7,$9.7,$9.7
04/13/2022,$9.7,N/A,$9.7,$9.7,$9.7
04/12/2022,$9.7,N/A,$9.7,$9.7,$9.7
04/11/2022,$9.7,N/A,$9.7,$9.7,$9.7
04/08/2022,$9.7,175100,$9.7,$9.7,$9.7
04/07/2022,$9.595,N/A,$9.595,$9.595,$9.595
04/06/2022,$9.595,N/A,$9.595,$9.595,$9.595
04/05/2022,$9.595,402423,$9.595,$9.595,$9.595
04/04/2022,$9.47,37544,$9.47,$9.47,$9.47
04/01/2022,$9.556,1150268,$9.32,$9.556,$9.32
03/31/2022,$9.2516,154755,$9.19,$9.2516,$9.19
03/30/2022,$9.26,N/A,$9.26,$9.26,$9.26
03/29/2022,$9.26,756,$9.38,$9.38,$9.26
03/28/2022,$9.2,275,$9.2,$9.2,$9.2
03/25/2022,$9.08,N/A,$9.08,$9.08,$9.08
03/24/2022,$9.08,1124308,$9.25,$9.25,$9.08
03/23/2022,$9.05,210,$9.05,$9.05,$9.05
03/22/2022,$9.05,N/A,$9.05,$9.05,$9.05
03/21/2022,$9.05,N/A,$9.05,$9.05,$9.05
03/18/2022,$9.05,N/A,$9.05,$9.05,$9.05
03/17/2022,$9.05,100,$9.05,$9.05,$9.05
03/16/2022,$8.8252,20664,$8.684,$8.8252,$8.684
03/15/2022,$8.77,N/A,$8.77,$8.77,$8.77
03/14/2022,$8.77,400000,$8.765,$8.77,$8.765
03/11/2022,$8.45,N/A,$8.45,$8.45,$8.45
03/10/2022,$8.45,800437,$8.38,$8.45,$8.38
03/09/2022,$8.4395,921232,$8.4325,$8.4395,$8.22
03/08/2022,$7.855,318840,$7.855,$7.855,$7.855
03/07/2022,$7.805,2812,$8,$8,$7.805
03/04/2022,$8.17,3421,$8.17,$8.17,$8.17
03/03/2022,$8.12,106180,$8.3,$8.33,$7.95
03/02/2022,$8.24,201361,$7.73,$8.24,$7.72
03/01/2022,$9.045,1721221,$8.75,$9.045,$8.75
02/28/2022,$9.8,N/A,$9.8,$9.8,$9.8
02/25/2022,$9.8,350100,$9.8,$9.8,$9.8
02/24/2022,$9.831,5625,$9.23,$9.831,$9.23
02/23/2022,$10.14,N/A,$10.14,$10.14,$10.14
02/22/2022,$10.14,N/A,$10.14,$10.14,$10.14
02/18/2022,$10.14,730150,$10.135,$10.14,$10.135
02/17/2022,$10.345,1634046,$10.4,$10.58,$10.34
02/16/2022,$10.89,1172524,$10.89,$10.89,$10.89
02/15/2022,$12.435,277,$12.435,$12.435,$12.435
02/14/2022,$12.6598,N/A,$12.6598,$12.6598,$12.6598
02/11/2022,$12.6598,N/A,$12.6598,$12.6598,$12.6598
02/10/2022,$12.6598,N/A,$12.6598,$12.6598,$12.6598
02/09/2022,$12.6598,N/A,$12.6598,$12.6598,$12.6598
02/08/2022,$12.6598,2001,$12.6598,$12.6598,$12.6598
02/07/2022,$12.23,N/A,$12.23,$12.23,$12.23
