Date,Close/Last,Volume,Open,High,Low
04/29/2022,$43.59,70765890,$44.99,$45.36,$43.5
04/28/2022,$46.84,41097040,$45.785,$47.27,$45.5408
04/27/2022,$45.22,28320900,$45.48,$46.06,$45.01
04/26/2022,$45.52,35356570,$46.69,$46.84,$45.51
04/25/2022,$47.06,35999250,$46.21,$47.14,$46.18
04/22/2022,$46.54,28219860,$47.45,$47.65,$46.5
04/21/2022,$47.5,27316890,$48.62,$48.9,$47.4
04/20/2022,$48.11,22787140,$48.36,$48.75,$47.975
04/19/2022,$47.93,31483100,$46.6,$48,$46.34
04/18/2022,$46.64,25593060,$45.53,$46.89,$45.52
04/14/2022,$45.67,36181840,$46.745,$46.75,$45.62
04/13/2022,$47.01,22171270,$46.75,$47.2687,$46.55
04/12/2022,$46.5,29861380,$47.32,$47.91,$46.41
04/11/2022,$46.57,30352480,$46.9,$47.295,$46.53
04/08/2022,$47.02,22167260,$47.28,$47.58,$46.845
04/07/2022,$47.56,24116970,$47.425,$47.91,$46.77
04/06/2022,$47.54,31518750,$47.44,$48.17,$47.24
04/05/2022,$48.13,25779170,$48.83,$48.98,$48.02
04/04/2022,$49.2,23811320,$48.17,$49.23,$47.915
04/01/2022,$48.11,46598560,$49.83,$49.9,$47.325
03/31/2022,$49.56,43698250,$51.2,$51.26,$49.51
03/30/2022,$51.43,24623260,$52.25,$52.51,$51.22
03/29/2022,$52.25,27303710,$52,$52.29,$51.275
03/28/2022,$51.51,22932370,$51.36,$51.57,$50.56
03/25/2022,$51.83,33249490,$50.69,$51.9783,$50.45
03/24/2022,$51.62,51677910,$48.66,$51.65,$48.59
03/23/2022,$48.27,37126380,$48.46,$49.58,$48.0601
03/22/2022,$48.39,27923320,$47.5,$48.47,$47.4
03/21/2022,$47.39,32910940,$47.46,$47.89,$47.065
03/18/2022,$47.45,46237120,$46.82,$47.6,$46.35
03/17/2022,$47.14,28554990,$46.32,$47.2873,$45.73
03/16/2022,$46.63,38885500,$45.3,$46.63,$45.27
03/15/2022,$44.81,34448890,$44.5,$44.9,$44.07
03/14/2022,$44.4,35993900,$45.9,$45.98,$44.3
03/11/2022,$45.83,27082090,$47.15,$47.275,$45.765
03/10/2022,$46.66,36455950,$47.29,$47.31,$46.155
03/09/2022,$47.63,36076460,$48.41,$48.46,$46.885
03/08/2022,$47.5,44813950,$47.69,$48.72,$46.89
03/07/2022,$47.68,43813750,$48.005,$48.54,$47.6
03/04/2022,$48.07,38324990,$47.37,$48.265,$47.37
03/03/2022,$47.93,36389880,$48.18,$48.55,$47.6236
03/02/2022,$48.87,46936510,$47.52,$48.99,$47.48
03/01/2022,$46.82,53852980,$47.54,$47.9,$46.22
02/28/2022,$47.7,41946110,$47,$47.82,$46.85
02/25/2022,$47.71,39266330,$46.93,$47.79,$46.25
02/24/2022,$46.72,72740050,$43.9,$46.79,$43.625
02/23/2022,$44.65,38176740,$45.17,$45.71,$44.5514
02/22/2022,$44.69,57093320,$44.69,$45.405,$43.8501
02/18/2022,$45.04,76520100,$46.19,$46.21,$44.51
02/17/2022,$47.57,32030620,$47.86,$48.26,$47.38
02/16/2022,$48.23,26022940,$48.06,$48.49,$47.6
02/15/2022,$48.44,35857520,$47.7,$48.46,$47.19
02/14/2022,$47.58,28456930,$47.92,$48.1772,$47.1101
02/11/2022,$47.63,37208230,$48.95,$49.11,$47.5
02/10/2022,$48.86,32762680,$49.18,$49.9325,$48.76
02/09/2022,$49.91,35217300,$49.33,$49.97,$48.825
02/08/2022,$48.81,28051190,$47.98,$48.94,$47.9
02/07/2022,$48.18,27558470,$48.13,$48.66,$47.96
02/04/2022,$48.01,32431490,$47.86,$48.2399,$47.13
02/03/2022,$48.28,42145840,$49.25,$49.685,$48.25
02/02/2022,$49.51,37962660,$48.245,$49.58,$48.09
02/01/2022,$48.95,35386060,$48.775,$49.03,$48.36
01/31/2022,$48.82,51828450,$47.68,$48.87,$47.305
01/28/2022,$47.73,61945410,$47.71,$48.2,$46.3
01/27/2022,$48.05,89642770,$49.98,$50.06,$47.78
01/26/2022,$51.69,54895390,$51.13,$52.72,$50.75
01/25/2022,$51,44095360,$51.01,$51.62,$50.25
01/24/2022,$51.94,64273630,$51.48,$52.1291,$49.88
01/21/2022,$52.04,46372370,$52.08,$53.1299,$51.95
01/20/2022,$52.04,28582610,$53.86,$54.085,$51.94
01/19/2022,$53.62,30595110,$54.63,$54.85,$53.56
01/18/2022,$54.76,35332590,$55.31,$55.65,$54.68
01/14/2022,$55.7,30151530,$54.85,$55.77,$54.53
01/13/2022,$54.94,29605350,$56,$56.21,$54.77
01/12/2022,$55.74,29136790,$56.136,$56.28,$54.81
01/11/2022,$55.91,39795190,$55.5,$56.08,$54.73
01/10/2022,$55.21,49260830,$53.97,$55.31,$53.31
01/07/2022,$53.44,30717220,$54.19,$54.39,$53.15
01/06/2022,$54.01,35757880,$54.61,$54.67,$53.415
01/05/2022,$53.87,59109320,$54.188,$56.17,$53.83
01/04/2022,$53.14,45681380,$53.57,$53.935,$52.65
01/03/2022,$53.21,33892930,$51.65,$53.23,$51.6
12/31/2021,$51.5,16318970,$51.89,$52.159,$51.46
12/30/2021,$51.74,18359360,$51.92,$52.14,$51.65
12/29/2021,$51.83,14174780,$51.81,$52.14,$51.66
12/28/2021,$51.76,19290440,$51.93,$52.12,$51.63
12/27/2021,$51.94,20990720,$51.35,$52.06,$51.3022
12/23/2021,$51.31,25198250,$51.08,$51.73,$51.05
12/22/2021,$50.97,23307950,$50.64,$51.02,$50.21
12/21/2021,$50.77,31956290,$49.94,$50.84,$49.94
12/20/2021,$49.6,30140280,$49.91,$50.13,$48.96
12/17/2021,$50.62,50190420,$50.59,$51.02,$50.01
12/16/2021,$50.83,33132250,$50.74,$51.4,$50.575
12/15/2021,$50.67,32590320,$49.87,$50.78,$49.325
12/14/2021,$49.7,34120380,$49.82,$50.27,$49.32
12/13/2021,$50,35726900,$50.85,$51.02,$49.95
12/10/2021,$50.59,23783630,$50.84,$51.07,$50.05
12/09/2021,$50.48,31694240,$51.3,$51.585,$50.43
12/08/2021,$51.75,37143440,$52.57,$52.88,$51.3838
12/07/2021,$52.57,91731470,$54.66,$55,$52.21
12/06/2021,$50.99,40335980,$49.48,$51.21,$49.18
12/03/2021,$49.25,32224930,$49.675,$50.06,$48.76
12/02/2021,$49.5,37240780,$48.61,$49.7947,$48.33
12/01/2021,$48.6,35133400,$49.84,$50.3062,$48.52
11/30/2021,$49.2,49460840,$49.5,$50.4,$48.68
11/29/2021,$50,31478900,$49.3,$50.13,$48.72
11/26/2021,$48.78,25268980,$48.9,$49.175,$48.115
11/24/2021,$49.76,26035780,$48.855,$49.78,$48.63
11/23/2021,$49.1,44713340,$50.16,$50.45,$48.64
11/22/2021,$49.83,33389630,$49.55,$50.85,$49.41
11/19/2021,$49.52,27607600,$49.6,$49.73,$49.24
11/18/2021,$49.68,30667660,$50.24,$50.24,$48.97
11/17/2021,$50.23,23546920,$50.6,$50.9399,$49.98
11/16/2021,$50.61,30927770,$50.37,$51.15,$50.34
11/15/2021,$50.32,24695780,$50.41,$50.63,$50.12
11/12/2021,$50.31,23884840,$50.595,$50.9,$50.18
11/11/2021,$50.53,25419990,$51.01,$51.07,$50.41
11/10/2021,$50.76,25040730,$50.975,$51.3873,$50.71
11/09/2021,$51.2,22508420,$51.54,$51.77,$50.765
11/08/2021,$51.55,31647840,$51.46,$51.99,$51.06
11/05/2021,$50.92,36816160,$50.55,$51.58,$50.54
11/04/2021,$50.31,24805960,$50.24,$50.35,$49.73
11/03/2021,$50.39,23962120,$49.931,$50.45,$49.71
11/02/2021,$49.86,27193260,$49.61,$49.895,$49.23
11/01/2021,$49.55,28013740,$49.4,$49.6,$49
10/29/2021,$49,42300970,$48.1,$49.28,$47.92
10/28/2021,$48.08,31317180,$48.14,$48.3599,$47.88
10/27/2021,$47.89,41081460,$48.52,$48.8155,$47.87
10/26/2021,$48.28,68405390,$49.4,$49.44,$47.93
10/25/2021,$49.41,43178770,$49.825,$50.07,$49.31
10/22/2021,$49.46,109971900,$50.39,$50.55,$49.14
10/21/2021,$56,38390860,$54.925,$56.07,$54.83
10/20/2021,$55.37,16850270,$55.25,$55.485,$55.08
10/19/2021,$55.21,18392880,$54.626,$55.22,$54.37
10/18/2021,$54.47,22407570,$54.185,$54.56,$53.72
10/15/2021,$54.46,25231140,$54.2,$54.49,$53.8095
10/14/2021,$53.9,26586650,$52.895,$54,$52.73
10/13/2021,$52.26,18533960,$52.38,$52.5784,$51.865
10/12/2021,$52.17,32784310,$53.57,$53.72,$52.01
10/11/2021,$53.44,14398760,$53.81,$54.41,$53.42
10/08/2021,$53.81,16068030,$54.55,$54.58,$53.7
10/07/2021,$54.18,20704440,$54.319,$54.985,$54.12
10/06/2021,$53.98,20059580,$53.48,$54.07,$53.07
10/05/2021,$53.95,18129360,$53.55,$54.34,$53.475
10/04/2021,$53.47,27353320,$53.93,$54.33,$53.08
10/01/2021,$53.86,19895100,$53.645,$54.105,$53.05
09/30/2021,$53.28,20534070,$53.76,$53.98,$53.26
09/29/2021,$53.49,20514310,$54,$54.05,$53.18
09/28/2021,$54,24691320,$54.18,$54.59,$53.96
09/27/2021,$54.66,13899910,$53.94,$54.87,$53.82
09/24/2021,$54.22,12976200,$53.775,$54.423,$53.73
09/23/2021,$54.03,16474330,$53.75,$54.3,$53.6
09/22/2021,$53.5,18594120,$53.4,$53.87,$53
09/21/2021,$52.87,17968930,$53.2,$53.45,$52.83
09/20/2021,$52.98,35051900,$53.214,$53.5,$52.32
09/17/2021,$54.26,35359230,$54.59,$54.59,$53.665
09/16/2021,$54.83,19863090,$54.86,$54.95,$54.24
09/15/2021,$55.12,18796180,$54.67,$55.15,$54.42
09/14/2021,$54.52,22072720,$55.37,$55.44,$54.27
09/13/2021,$54.99,22639240,$54.61,$55.485,$54.41
09/10/2021,$53.84,20324700,$53.85,$54.98,$53.81
09/09/2021,$53.4,13495800,$53.66,$53.89,$53.34
09/08/2021,$53.57,18235080,$53.73,$53.92,$52.99
09/07/2021,$53.65,13914970,$53.57,$53.95,$53.44
09/03/2021,$53.51,13472750,$53.44,$54.08,$53.3193
09/02/2021,$53.73,15880060,$53.8,$53.89,$53.35
09/01/2021,$53.67,18615030,$54.11,$54.155,$53.53
08/31/2021,$54.06,22350100,$54.44,$54.5,$53.66
08/30/2021,$53.94,14581330,$54.26,$54.87,$53.76
08/27/2021,$53.89,16524990,$53.36,$53.94,$52.92
08/26/2021,$53.13,19569980,$53.745,$53.745,$52.9729
08/25/2021,$53.81,15048390,$54.08,$54.23,$53.731
08/24/2021,$53.81,20348800,$53.555,$53.97,$53.31
08/23/2021,$53.23,23976260,$52.59,$53.535,$52.48
08/20/2021,$52.01,25728330,$52.16,$52.38,$51.42
08/19/2021,$52.44,22999390,$52.054,$52.67,$51.58
08/18/2021,$52.19,15061740,$52.6,$53.03,$52.11
08/17/2021,$52.69,22014900,$53.17,$53.1784,$52.22
08/16/2021,$53.47,17692910,$53.23,$53.49,$53
08/13/2021,$53.49,15281070,$53.5,$53.555,$53.055
08/12/2021,$53.54,15073690,$54.17,$54.18,$53.255
08/11/2021,$54.14,18590800,$54.26,$54.36,$53.84
08/10/2021,$53.94,16215710,$54.24,$54.385,$53.51
08/09/2021,$54.05,14670140,$54.08,$54.41,$53.83
08/06/2021,$53.92,19256020,$53.86,$54.13,$53.73
08/05/2021,$53.89,15310010,$53.99,$54.02,$53.58
08/04/2021,$53.9,17612710,$54.25,$54.44,$53.7
08/03/2021,$54.06,16375930,$53.89,$54.16,$53.26
08/02/2021,$53.68,18098080,$53.99,$54.47,$53.535
07/30/2021,$53.72,16465690,$53.65,$53.9,$53.25
07/29/2021,$53.7,16886630,$53.48,$54.1,$53.32
07/28/2021,$53.07,28478850,$53.03,$53.92,$52.94
07/27/2021,$53.18,39878030,$53.12,$53.2,$52.31
07/26/2021,$54.31,32881170,$52.81,$54.54,$52.76
07/23/2021,$53,67742250,$54.58,$54.71,$52.32
07/22/2021,$55.96,36690980,$56.06,$56.54,$55.68
07/21/2021,$56.23,18497170,$55.18,$56.28,$55.01
07/20/2021,$55.24,19866970,$54.915,$55.56,$54.2684
07/19/2021,$54.64,27007670,$54.41,$54.805,$53.97
07/16/2021,$54.97,25263790,$56.05,$56.9295,$54.9
07/15/2021,$55.81,18917050,$56.4,$56.4,$55.57
07/14/2021,$56.52,16263610,$57.17,$57.455,$56.3339
07/13/2021,$56.87,15715980,$56.62,$57.3,$56.34
07/12/2021,$56.73,15392760,$56.26,$56.755,$56.11
07/09/2021,$55.99,18708000,$55.51,$56.105,$55.31
07/08/2021,$55.39,19161960,$55.31,$55.72,$54.7901
07/07/2021,$55.96,14857390,$56.37,$56.45,$55.705
07/06/2021,$56.09,26186600,$56.92,$57.01,$55.7
07/02/2021,$56.76,17223580,$56.55,$56.99,$56.32
07/01/2021,$56.01,24871590,$56.13,$56.64,$55.87
06/30/2021,$56.14,29891580,$56.34,$56.375,$55.39
06/29/2021,$56.75,26359990,$57.55,$57.83,$55.88
06/28/2021,$57.48,22480880,$56.36,$57.725,$56.34
06/25/2021,$55.91,21101240,$56.02,$56.405,$55.745
06/24/2021,$56.07,21209730,$55.49,$56.1,$55.34
06/23/2021,$55.26,20287880,$55.87,$55.974,$55.23
06/22/2021,$55.87,18682810,$55.94,$56.2799,$55.5049
06/21/2021,$55.87,19254640,$55.75,$56.04,$55.37
