Date,Close/Last,Volume,Open,High,Low
04/29/2022,$170.9,2892924,$174.47,$178.11,$170.64
04/28/2022,$177.25,3107041,$172.06,$179.43,$170.31
04/27/2022,$170.76,3341974,$166.645,$172.41,$165.67
04/26/2022,$167.75,3369815,$169.98,$170.96,$167.36
04/25/2022,$172.84,2781896,$169.96,$173.5,$169.01
04/22/2022,$170.75,2165393,$174.76,$175.33,$170.015
04/21/2022,$174.85,2346331,$181.26,$183.22,$174.36
04/20/2022,$178.79,2685040,$180.67,$185.28,$178.37
04/19/2022,$178.65,2979308,$170.225,$179.28,$170.225
04/18/2022,$173.25,2138362,$169.7,$176.73,$169.15
04/14/2022,$170,2698294,$171.26,$172.51,$168.79
04/13/2022,$171.03,2922829,$167.51,$171.355,$165.63
04/12/2022,$166.23,3138920,$169.83,$170.47,$165.08
04/11/2022,$165.52,3346946,$165.43,$168.1568,$164.75
04/08/2022,$167.5,5746516,$170.52,$170.72,$165.26
04/07/2022,$172.92,2016251,$172.51,$175.56,$169.44
04/06/2022,$174.02,3754899,$170.845,$177.25,$169.78
04/05/2022,$175.07,4235069,$180.4,$181.18,$172.78
04/04/2022,$182.61,1844316,$181.72,$184.75,$180.68
04/01/2022,$182.02,2417287,$187.12,$187.12,$179.15
03/31/2022,$185.08,2627237,$188.45,$189.28,$184.76
03/30/2022,$187.33,1922403,$192.76,$194.39,$186.2301
03/29/2022,$194.74,2083094,$193.38,$196.352,$190.72
03/28/2022,$189.42,2490428,$188.38,$190.11,$183.99
03/25/2022,$190.46,1768614,$191.58,$191.84,$186.4
03/24/2022,$191.08,2320544,$188.2,$191.38,$184.25
03/23/2022,$183.59,1865360,$185.05,$188.54,$183.44
03/22/2022,$187.75,2797117,$189.95,$192.19,$187.51
03/21/2022,$190.51,1895251,$190.87,$193.23,$186.53
03/18/2022,$192.42,3132082,$187.51,$192.85,$184.68
03/17/2022,$189.77,1488967,$187.03,$190.32,$185.14
03/16/2022,$188.32,2846085,$181.37,$188.42,$178.18
03/15/2022,$178.44,2183095,$172.86,$179.03,$172.71
03/14/2022,$171.71,2515948,$178.38,$179.64,$170.22
03/11/2022,$178.56,2176907,$183.98,$185.27,$178.16
03/10/2022,$180.5,1899207,$179.24,$181.32,$175.82
03/09/2022,$183.35,3108923,$183,$186.27,$182.2
03/08/2022,$176.9,4006618,$170.62,$185.44,$168.74
03/07/2022,$169.72,2992458,$177.785,$179.1,$169.55
03/04/2022,$176.45,3190789,$182.48,$183.23,$174.1612
03/03/2022,$184.7,2591638,$189.42,$189.92,$184.05
03/02/2022,$188.35,3191781,$183.02,$190.47,$182.63
03/01/2022,$181.18,2997848,$189.61,$189.985,$179.23
02/28/2022,$190.12,2741126,$191.43,$192.73,$186.73
02/25/2022,$194.2,2058741,$190.49,$194.32,$185.58
02/24/2022,$191.42,3208633,$179.12,$191.73,$178.305
02/23/2022,$185.15,2612345,$190.48,$194.6,$185.03
02/22/2022,$187.24,2361659,$185.18,$191.605,$183.91
02/18/2022,$187.09,2691821,$188.77,$190.14,$185.19
02/17/2022,$187.61,2763054,$196.4,$197.45,$187.39
02/16/2022,$199.66,1969413,$195.45,$200.64,$193
02/15/2022,$196.62,2810008,$190.5,$196.9,$189.21
02/14/2022,$185.88,2040009,$187.84,$191.67,$183.97
02/11/2022,$186.74,3738556,$200.01,$200.97,$185.18
02/10/2022,$199.05,2466782,$204.36,$209.62,$198.13
02/09/2022,$209.76,3113012,$205.49,$210,$200.5
02/08/2022,$202.53,2306046,$197.29,$203.32,$196.085
02/07/2022,$196.92,2169490,$198.4,$201.91,$196.06
02/04/2022,$198.12,3205417,$196.97,$200.11,$190.79
02/03/2022,$198.34,4263591,$206.72,$208.7999,$197.8
02/02/2022,$210.35,2863864,$209.63,$211.8336,$205.6849
02/01/2022,$208.2,4066217,$208.99,$210.99,$200.01
01/31/2022,$205.44,5679858,$190.39,$205.9,$190
01/28/2022,$189.45,4949076,$186.48,$189.53,$180.12
01/27/2022,$187.96,3786899,$200.874,$201.02,$186.39
01/26/2022,$196.96,3470576,$200.45,$205.25,$193.54
01/25/2022,$194.77,3855581,$197.2,$199.875,$193.39
01/24/2022,$203.07,3739096,$195.83,$203.47,$188.07
01/21/2022,$199.95,3812039,$197.33,$207.73,$196.8
01/20/2022,$199.61,2885044,$208,$211.77,$199.41
01/19/2022,$210.95,1888253,$217.94,$220.45,$210.78
01/18/2022,$217.42,2349413,$220,$221.165,$216.7425
01/14/2022,$225.29,1722896,$218.71,$225.39,$218.07
01/13/2022,$221.86,2910990,$231.99,$232.36,$220.6
01/12/2022,$229.02,1262999,$229.06,$231.4,$225.86
01/11/2022,$227.54,1755379,$222.67,$227.75,$220.755
01/10/2022,$221.83,1926494,$220.05,$222.14,$214.7
01/07/2022,$221.33,1760182,$228,$229.99,$219.88
01/06/2022,$226.96,1957799,$225.5,$228.76,$224.11
01/05/2022,$224.57,1963533,$231.75,$234.28,$224.26
01/04/2022,$232.87,1964983,$232.41,$234.9,$225.455
01/03/2022,$231.22,1519604,$228.39,$233.37,$228.07
12/31/2021,$227.78,1023020,$229.15,$231.5,$227.35
12/30/2021,$228.6,886359,$230.53,$232.6,$228.3
12/29/2021,$230.52,1116978,$230.39,$233.37,$229.9
12/28/2021,$231.02,1362273,$233.81,$234.42,$228.58
12/27/2021,$232.78,1235993,$228.65,$232.85,$227.6
12/23/2021,$227.35,920491,$226.76,$229.185,$226.26
12/22/2021,$226.76,1057962,$223.05,$226.88,$221.71
12/21/2021,$224.37,1603774,$221.55,$224.7,$219.05
12/20/2021,$217.65,1336333,$215.49,$219.685,$214.6101
12/17/2021,$218.71,4671428,$216.235,$222.54,$214.45
12/16/2021,$217.95,3223834,$228.84,$229.31,$217.65
12/15/2021,$229.38,2565658,$221.34,$229.62,$218.775
12/14/2021,$219.99,1687336,$218.91,$221.63,$216.75
12/13/2021,$221.79,1966590,$228.3776,$228.3776,$220.06
12/10/2021,$226.46,1751518,$228.56,$228.88,$223.03
12/09/2021,$225.16,1990848,$225.35,$228.56,$224.75
12/08/2021,$228.09,3880058,$229.01,$229.8,$221.09
12/07/2021,$238.9,2934410,$228.99,$239.91,$228
12/06/2021,$224.28,2223768,$227.8,$228.309,$217.43
12/03/2021,$227.12,2743793,$225,$228.455,$221.56
12/02/2021,$222.73,1934818,$220.27,$225.9,$218.18
12/01/2021,$223,3223503,$227.34,$234.6799,$222.71
11/30/2021,$223.36,5141720,$222.7,$227.815,$218.3
11/29/2021,$223.94,2412931,$216.75,$224.26,$215.1
11/26/2021,$212.45,1776506,$213.12,$217.56,$210.25
11/24/2021,$221.03,1631247,$216.6,$221.22,$214.32
11/23/2021,$219.12,2070018,$221.41,$224.09,$215.57
11/22/2021,$221.87,2846054,$222.31,$225.6615,$219.44
11/19/2021,$221.26,2124255,$220.58,$221.81,$219.64
11/18/2021,$220.58,2495127,$218.76,$220.67,$216.36
11/17/2021,$217.81,1376544,$219.26,$219.26,$215.67
11/16/2021,$219.26,1497233,$215.2,$219.97,$214.4
11/15/2021,$215.68,2003327,$221,$221,$215.19
11/12/2021,$217.82,2828996,$219.58,$220.54,$214.41
11/11/2021,$219.1,4639660,$223.26,$223.34,$214.15
11/10/2021,$214.22,2262187,$218.46,$220.185,$212.77
11/09/2021,$221.05,1625224,$223.24,$223.38,$218.34
11/08/2021,$223.08,3829726,$223.663,$227.5,$221.26
11/05/2021,$224.25,2835945,$220,$224.79,$219.945
