Date,Year,Quarter,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash From Acquisitions & Divestitures,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash From (Repayment of) Debt,Cash From (Repurchase of) Equity,Other Financing Activities,Cash from Financing Activities,Net Cash Before Disc. Operations and FX,Change in Cash from Disc. Operations and Other,Net Cash Before FX,Effect of Foreign Exchange Rates,Net Changes in Cash
1/1/2017,2016,4,"1,599",336,230,151,"2,316",-91,-972,,-196,"-1,259",-782,1,21,-229,-989,68,,68,-7,61
4/1/2017,2017,1,681,329,150,426,"1,586",-129,"2,774",,"-1,964",681,-784,0,-313,-214,"-1,311",956,,956,-17,939
7/1/2017,2017,2,750,342,148,-420,820,-122,"1,570",,"-1,369",79,-783,249,-124,-13,-671,228,,228,11,239
10/1/2017,2017,3,865,393,-175,-912,171,-177,-915,,-10,"-1,102",-844,"9,954",-259,-169,"8,682","7,751",,"7,751",34,"7,785"
1/1/2018,2017,4,169,397,260,"1,598","2,424",-239,"18,514",,530,"18,805",-841,-1,-149,-138,"-1,129","20,100",,"20,100",20,"20,120"
4/1/2018,2018,1,"-5,983",363,"5,903","1,479","1,762",-226,"-2,923",,-112,"-3,261",-844,967,-91,-197,-165,"-1,664",0,"-1,664",-3,"-1,667"
7/1/2018,2018,2,393,388,277,-542,516,-185,"4,824",,103,"4,742",-845,266,1,-131,-709,"4,549",,"4,549",35,"4,584"
10/1/2018,2018,3,"1,219",414,-488,908,"2,053",-214,"1,320",,28,"1,134",-911,-617,-948,"-2,987","-5,463","-2,276",,"-2,276",-51,"-2,327"
1/1/2019,2018,4,-593,396,-153,-73,-423,-159,253,,-328,-234,-866,"-6,125","-20,939","2,767","-25,163","-25,820",,"-25,820",-22,"-25,842"
4/1/2019,2019,1,"1,068",353,-273,-792,356,-152,35,,-35,-152,-750,-6,-991,-140,"-1,887","-1,683",-25,"-1,708",-3,"-1,711"
7/1/2019,2019,2,663,345,-160,-54,794,-170,96,,-35,-109,-752,0,149,-41,-644,41,,66,3,69
10/1/2019,2019,3,"2,149",353,"3,104",-697,"4,909",-248,38,,2,-208,-755,1,18,-179,-915,"3,786",,"3,786",2,"3,788"
1/1/2020,2019,4,506,350,52,319,"1,227",-317,97,-252,135,-337,-711,-498,-555,"-1,176","-2,940","-2,050",,"-2,050",-34,"-2,084"
4/1/2020,2020,1,925,351,130,-288,"1,118",-296,119,-75,49,-203,-710,0,-762,-187,"-1,659",-744,,-744,14,-730
7/1/2020,2020,2,468,340,336,-61,"1,083",-345,"-1,142",-53,-26,"-1,566",-705,0,"-1,404",-100,"-2,209","-2,692",,"-2,692",,"-2,706"
10/1/2020,2020,3,845,363,-54,718,"1,872",-418,"-2,726",-31,19,"-3,156",-733,-10,-108,-152,"-1,003","-2,287",,"-2,287",4,"-2,283"
1/1/2021,2020,4,"2,960",339,418,"-1,976","1,741",-348,35,-26,1,-338,-734,-219,153,-36,-836,567,,567,20,587
4/1/2021,2021,1,"2,455",364,232,124,"3,175",-469,-626,-138,31,"-1,202",-739,1,-444,-463,"-1,645",328,,328,41,369
7/1/2021,2021,2,"1,762",387,14,748,"2,911",-483,-252,"-1,098",1,"-1,832",-734,-1,"-1,347",-61,"-2,143","-1,064",,"-1,064",-12,"-1,076"
10/1/2021,2021,3,"2,028",406,98,841,"3,373",-506,136,-48,46,-372,-767,0,-630,-211,"-1,608","1,393",,"1,393",6,"1,399"
1/1/2022,2021,4,"2,798",425,28,"-2,174","1,077",-430,710,-93,-137,50,-768,1,-598,-37,"-1,402",-275,,-275,-8,-283
4/1/2022,2022,1,"3,399",406,640,"-2,388","2,057",-583,709,-238,,-112,-765,0,"-1,178",-503,"-2,446",-501,,-501,-8,-509
