Date,Close/Last,Volume,Open,High,Low
04/29/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/28/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/27/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/26/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/25/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/22/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/21/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/20/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/19/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/18/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/14/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/13/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/12/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/11/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/08/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/07/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/06/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/05/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/04/2022,$57.75,N/A,$57.75,$57.75,$57.75
04/01/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/31/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/30/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/29/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/28/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/25/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/24/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/23/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/22/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/21/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/18/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/17/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/16/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/15/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/14/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/11/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/10/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/09/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/08/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/07/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/04/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/03/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/02/2022,$57.75,N/A,$57.75,$57.75,$57.75
03/01/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/28/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/25/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/24/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/23/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/22/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/18/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/17/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/16/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/15/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/14/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/11/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/10/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/09/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/08/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/07/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/04/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/03/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/02/2022,$57.75,N/A,$57.75,$57.75,$57.75
02/01/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/31/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/28/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/27/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/26/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/25/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/24/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/21/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/20/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/19/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/18/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/14/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/13/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/12/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/11/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/10/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/07/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/06/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/05/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/04/2022,$57.75,N/A,$57.75,$57.75,$57.75
01/03/2022,$57.75,N/A,$57.75,$57.75,$57.75
12/31/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/30/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/29/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/28/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/27/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/23/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/22/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/21/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/20/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/17/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/16/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/15/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/14/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/13/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/10/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/09/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/08/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/07/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/06/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/03/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/02/2021,$57.75,N/A,$57.75,$57.75,$57.75
12/01/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/30/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/29/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/26/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/24/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/23/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/22/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/19/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/18/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/17/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/16/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/15/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/12/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/11/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/10/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/09/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/08/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/05/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/04/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/03/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/02/2021,$57.75,N/A,$57.75,$57.75,$57.75
11/01/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/29/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/28/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/27/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/26/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/25/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/22/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/21/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/20/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/19/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/18/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/15/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/14/2021,$57.75,N/A,$57.75,$57.75,$57.75
10/13/2021,$57.75,1,$57.75,$57.75,$57.75
10/12/2021,$2210,N/A,$2210,$2210,$2210
10/11/2021,$2210,N/A,$2210,$2210,$2210
10/08/2021,$2210,N/A,$2210,$2210,$2210
10/07/2021,$2210,N/A,$2210,$2210,$2210
10/06/2021,$2210,N/A,$2210,$2210,$2210
10/05/2021,$2210,N/A,$2210,$2210,$2210
10/04/2021,$2210,N/A,$2210,$2210,$2210
10/01/2021,$2210,N/A,$2210,$2210,$2210
09/30/2021,$2210,N/A,$2210,$2210,$2210
09/29/2021,$2210,N/A,$2210,$2210,$2210
09/28/2021,$2210,N/A,$2210,$2210,$2210
09/27/2021,$2210,N/A,$2210,$2210,$2210
09/24/2021,$2210,N/A,$2210,$2210,$2210
09/23/2021,$2210,N/A,$2210,$2210,$2210
09/22/2021,$2210,N/A,$2210,$2210,$2210
09/21/2021,$2210,N/A,$2210,$2210,$2210
09/20/2021,$2210,N/A,$2210,$2210,$2210
09/17/2021,$2210,N/A,$2210,$2210,$2210
09/16/2021,$2210,N/A,$2210,$2210,$2210
09/15/2021,$2210,N/A,$2210,$2210,$2210
09/14/2021,$2210,N/A,$2210,$2210,$2210
09/13/2021,$2210,N/A,$2210,$2210,$2210
09/10/2021,$2210,N/A,$2210,$2210,$2210
09/09/2021,$2210,N/A,$2210,$2210,$2210
09/08/2021,$2210,N/A,$2210,$2210,$2210
