Date,Close/Last,Volume,Open,High,Low
04/29/2022,$123.14,7328444,$130.3,$131.74,$122.72
04/28/2022,$132.29,4288483,$131.04,$132.94,$128.44
04/27/2022,$129.84,8071934,$129,$132.42,$127.07
04/26/2022,$124.96,6221098,$128.39,$129.065,$124.81
04/25/2022,$128.81,4570583,$128.77,$129.07,$126.38
04/22/2022,$128.63,5604690,$130.47,$130.86,$127.5
04/21/2022,$132.1,3580745,$133.26,$134.62,$131.85
04/20/2022,$132.7,4407296,$133.61,$133.7893,$132.09
04/19/2022,$132.84,3707087,$129.65,$133.22,$129.44
04/18/2022,$130.76,2604182,$132.11,$132.95,$130
04/14/2022,$132.96,3921362,$134.85,$135.15,$132.54
04/13/2022,$134.85,6828562,$132.09,$135.06,$131.7
04/12/2022,$131.44,5007972,$131.42,$133.2,$130.66
04/11/2022,$130.42,5098599,$133.275,$134.09,$129.82
04/08/2022,$132.84,4293127,$133.4,$134.33,$132.39
04/07/2022,$133.28,5812440,$133.68,$134.85,$132.28
04/06/2022,$133.71,7274612,$131.53,$134.85,$131.25
04/05/2022,$131.96,4215303,$130.96,$133.25,$130.79
04/04/2022,$132.59,6884949,$130.54,$133.21,$130.48
04/01/2022,$130.76,4205066,$128.97,$130.9096,$127.9
03/31/2022,$128.35,4434330,$128.88,$129.4,$127.54
03/30/2022,$128.61,4076961,$128.99,$128.99,$127.865
03/29/2022,$128.43,7016684,$126.22,$128.58,$125.98
03/28/2022,$126.49,5420300,$124.49,$126.58,$124.27
03/25/2022,$124.29,5135532,$125.74,$126.225,$123.14
03/24/2022,$125.69,5288610,$125.63,$126.12,$123.84
03/23/2022,$124.83,4867003,$125.93,$126.82,$124.74
03/22/2022,$125.69,4594266,$126.58,$127.13,$125.43
03/21/2022,$125.97,5920130,$126.92,$126.92,$124.2
03/18/2022,$127.18,8572039,$128.88,$129.4,$126.69
03/17/2022,$128.95,5042044,$128.57,$129.57,$127.7087
03/16/2022,$127.76,5454004,$126.02,$128.14,$125.47
03/15/2022,$126.28,3879160,$124.89,$127.6,$124.89
03/14/2022,$124.07,5149525,$124.37,$126.44,$123.97
03/11/2022,$124.57,4207189,$124.43,$126.38,$124.4
03/10/2022,$123.54,4200597,$120.66,$123.92,$120.44
03/09/2022,$121.96,4290357,$120.68,$122.53,$120.49
03/08/2022,$119.28,6187017,$121.14,$121.83,$116.91
03/07/2022,$122.31,5161507,$122.5,$123.645,$121.79
03/04/2022,$123.23,5086450,$123.55,$124.775,$122.43
03/03/2022,$123.92,4718782,$126.54,$127.2,$123.63
03/02/2022,$125.61,4177692,$123.9,$126.31,$123.16
