DATE,WPU10260314
2017-02-01,274.3
2017-03-01,268.2
2017-04-01,271.2
2017-05-01,270.8
2017-06-01,270.0
2017-07-01,278.7
2017-08-01,288.1
2017-09-01,293.8
2017-10-01,295.1
2017-11-01,294.7
2017-12-01,302.8
2018-01-01,295.2
2018-02-01,303.7
2018-03-01,301.0
2018-04-01,311.4
2018-05-01,308.1
2018-06-01,315.1
2018-07-01,321.1
2018-08-01,317.8
2018-09-01,286.8
2018-10-01,296.0
2018-11-01,297.4
2018-12-01,298.2
2019-01-01,296.8
2019-02-01,297.5
2019-03-01,291.0
2019-04-01,308.7
2019-05-01,306.4
2019-06-01,292.3
2019-07-01,297.5
2019-08-01,295.5
2019-09-01,294.0
2019-10-01,293.4
2019-11-01,295.9
2019-12-01,296.3
2020-01-01,302.1
2020-02-01,294.1
2020-03-01,285.6
2020-04-01,281.8
2020-05-01,284.0
2020-06-01,287.1
2020-07-01,.
2020-08-01,306.5
2020-09-01,311.8
2020-10-01,313.2
2020-11-01,322.9
2020-12-01,336.5
2021-01-01,342.4
2021-02-01,347.7
2021-03-01,362.0
2021-04-01,370.8
2021-05-01,391.8
2021-06-01,407.7
2021-07-01,407.056
2021-08-01,404.131
2021-09-01,401.022
2021-10-01,401.784
2021-11-01,411.812
2021-12-01,402.535
2022-01-01,401.689
2022-02-01,402.055
