statistic,Date,Year,Quarter,Revenue,Cost of revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, net",Income (Loss) Including Minority Interest,Minority Interest,Net Income Available to Common Shareholders
count,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
cardinality,22,7.0,4.0,22.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,4.0,22.0
mean,,2019.0,2.5,6507.318181818182,-2681.590909090909,3825.7272727272725,-2343.318181818182,1482.409090909091,4.454545454545454,1486.8636363636363,-526.5909090909091,960.2727272727273,0.16666666666666666,960.3181818181819
median,,2019.0,2.5,5810.5,-2489.5,3180.0,-2193.5,932.5,16.0,869.0,-146.0,895.0,0.0,895.5
n_at_median,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
mode,2017-01-01,2017.0,1.0,4814.0,-4303.0,2654.0,-3606.0,-741.0,-83.0,-862.0,-5923.0,-5983.0,0.0,-5983.0
n_at_mode,1,4.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0
stddev,,1.6618979396776332,1.185226520443204,1799.0810190169348,636.9132899861951,1358.830000293256,475.2730930602036,1419.4460575835947,157.54416683001787,1481.3039395991161,1409.4082398581634,1844.369273577289,0.7527726527090811,1844.3800451865259
min,,2016.0,1.0,4814.0,-4303.0,2654.0,-3606.0,-741.0,-393.0,-862.0,-5923.0,-5983.0,-1.0,-5983.0
n_at_min,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,,2022.0,4.0,10705.0,-2080.0,7521.0,-1841.0,5317.0,382.0,5501.0,509.0,3399.0,1.0,3399.0
n_at_max,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
n_zero,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
n_missing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
