statistic,Date,Close/Last,Volume,Open,High,Low
count,1260,1260.0,1260.0,1260.0,1260.0,1260.0
cardinality,1260,1149.0,1259.0,1156.0,1180.0,1180.0
mean,,94.34067063492063,11185564.052380953,94.35891682539682,95.64676468253968,93.06872642857144
median,,77.91,9396204.5,77.595,78.94749999999999,76.685
n_at_median,,0.0,0.0,0.0,0.0,0.0
mode,2017-05-01,52.49,11301880.0,52.0,58.49,52.27
n_at_mode,1,4.0,2.0,3.0,4.0,3.0
stddev,,39.76462343656579,8104528.27506686,39.82370779817783,40.48733781437314,39.0896230117728
min,,49.4,2120165.0,49.52,49.8,48.56
n_at_min,,1.0,1.0,1.0,1.0,1.0
max,,189.28,155953900.0,190.304,193.58,185.1852
n_at_max,,1.0,1.0,1.0,1.0,1.0
n_zero,,0.0,0.0,0.0,0.0,0.0
n_missing,0,0.0,0.0,0.0,0.0,0.0
