Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil
2017-05-01,53.6,12957180,53.65,53.7,53.095,3309.4065934065934,704.0879120879121,1.7,53590.06593406593,22341.86813186813,703.7472527472528,-783.6703296703297,708.2307692307693,50.8708695652174
2017-05-02,53.29,10270480,53.65,53.725,52.9,3301.186813186813,704.8241758241759,1.7,53630.868131868134,22381.263736263736,704.5054945054945,-783.6593406593406,700.5384615384615,50.742601045518306
2017-05-03,54.49,18350090,53.41,54.77,53.25,3292.967032967033,705.5604395604396,1.7,53671.67032967033,22420.659340659342,705.2637362637363,-783.6483516483516,692.8461538461538,50.61433252581921
2017-05-04,54.91,11993090,54.73,55.0,54.5,3284.747252747253,706.2967032967033,1.7,53712.47252747253,22460.054945054944,706.021978021978,-783.6373626373627,685.1538461538462,50.48606400612012
2017-05-05,54.93,9073450,54.93,55.0,54.695,3276.5274725274726,707.032967032967,1.7,53753.27472527473,22499.45054945055,706.7802197802198,-783.6263736263736,677.4615384615385,50.357795486421026
2017-05-08,54.62,7025309,54.99,55.0,54.56,3251.868131868132,709.2417582417582,1.7,53875.681318681316,22617.637362637364,709.054945054945,-783.5934065934066,654.3846153846154,49.972989927323745
2017-05-09,55.15,8313475,54.69,55.19,54.63,3243.6483516483518,709.978021978022,1.7,53916.48351648352,22657.032967032967,709.8131868131868,-783.5824175824176,646.6923076923076,49.84472140762465
2017-05-10,55.33,8496878,55.22,55.4273,54.8627,3235.4285714285716,710.7142857142857,1.7,53957.28571428572,22696.428571428572,710.5714285714286,-783.5714285714286,639.0,49.716452887925556
2017-05-11,54.68,13514130,55.25,55.3,54.41,3227.2087912087914,711.4505494505495,1.7,53998.08791208791,22735.824175824175,711.3296703296703,-783.5604395604396,631.3076923076924,49.588184368226464
2017-05-12,55.32,9100734,54.5,55.35,54.4,3218.989010989011,712.1868131868132,1.7,54038.89010989011,22775.21978021978,712.0879120879121,-783.5494505494505,623.6153846153845,49.459915848527366
2017-05-15,55.4,10657680,55.08,55.49,55.075,3194.3296703296705,714.3956043956044,1.7,54161.296703296706,22893.406593406595,714.3626373626373,-783.5164835164835,600.5384615384615,49.075110289430086
