statistic,Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil
count,1260,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0
cardinality,1260,1149.0,1259.0,1156.0,1180.0,1180.0,1238.0,1239.0,592.0,1240.0,1241.0,1238.0,1230.0,1241.0,1136.0
mean,,94.34067063492063,11185564.052380953,94.35891682539682,95.64676468253968,93.06872642857144,3826.3564605373917,922.0514277456306,2.5487020660816544,43858.82475893653,31443.817077663345,922.1066139314638,-778.0019739835734,-64.1719418174801,62.559090392262604
median,,77.91,9396204.5,77.595,78.94749999999999,76.685,3172.9565217391305,843.8260869565217,2.149193548387097,37408.939560439554,30194.479933110368,844.1991758241759,-763.233695652174,-142.6483516483516,64.50149103613778
n_at_median,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode,2017-05-01,52.49,11301880.0,52.0,58.49,52.27,6402.0,3399.0,1.7,42820.0,31487.0,3399.0,-765.0,-509.0,80.7663636363636
n_at_mode,1,4.0,2.0,3.0,4.0,3.0,20.0,20.0,111.0,20.0,20.0,20.0,20.0,20.0,125.0
stddev,,39.76462343656579,8104528.27506686,39.82370779817783,40.48733781437314,39.0896230117728,1185.7731321656145,1631.1401018956535,1.241059203549981,12563.445041490393,4011.1461015542423,1630.5715831169514,55.80531635468849,6477.438372373787,13.798548331014242
min,,49.4,2120165.0,49.52,49.8,48.56,2654.0,-5913.263736263736,1.2,31938.0,22341.86813186813,-5912.934065934066,-911.0,-25586.402173913044,23.3372727272727
n_at_min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0
max,,189.28,155953900.0,190.304,193.58,185.1852,7521.0,3399.0,5.5,65473.38888888889,40425.681318681316,3399.0,-705.0,19877.922222222223,83.65
n_at_max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0
n_zero,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_missing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
