Category: All categories

Week,semiconductor: (United States)
2017-04-30,50
2017-05-07,43
2017-05-14,40
2017-05-21,40
2017-05-28,42
2017-06-04,44
2017-06-11,36
2017-06-18,34
2017-06-25,37
2017-07-02,32
2017-07-09,43
2017-07-16,39
2017-07-23,42
2017-07-30,36
2017-08-06,37
2017-08-13,36
2017-08-20,35
2017-08-27,39
2017-09-03,38
2017-09-10,53
2017-09-17,48
2017-09-24,46
2017-10-01,46
2017-10-08,50
2017-10-15,49
2017-10-22,47
2017-10-29,50
2017-11-05,48
2017-11-12,45
2017-11-19,31
2017-11-26,45
2017-12-03,46
2017-12-10,44
2017-12-17,37
2017-12-24,25
2017-12-31,35
2018-01-07,47
2018-01-14,44
2018-01-21,50
2018-01-28,47
2018-02-04,47
2018-02-11,44
2018-02-18,39
2018-02-25,48
2018-03-04,46
2018-03-11,44
2018-03-18,51
2018-03-25,44
2018-04-01,49
2018-04-08,40
2018-04-15,48
2018-04-22,48
2018-04-29,49
2018-05-06,51
2018-05-13,41
2018-05-20,42
2018-05-27,39
2018-06-03,41
2018-06-10,40
2018-06-17,40
2018-06-24,40
2018-07-01,33
2018-07-08,39
2018-07-15,39
2018-07-22,42
2018-07-29,38
2018-08-05,41
2018-08-12,38
2018-08-19,39
2018-08-26,40
2018-09-02,40
2018-09-09,47
2018-09-16,46
2018-09-23,44
2018-09-30,44
2018-10-07,44
2018-10-14,41
2018-10-21,40
2018-10-28,47
2018-11-04,36
2018-11-11,38
2018-11-18,25
2018-11-25,41
2018-12-02,42
2018-12-09,37
2018-12-16,31
2018-12-23,21
2018-12-30,28
2019-01-06,37
2019-01-13,40
2019-01-20,43
2019-01-27,36
2019-02-03,44
2019-02-10,44
2019-02-17,44
2019-02-24,38
2019-03-03,40
2019-03-10,41
2019-03-17,35
2019-03-24,43
2019-03-31,41
2019-04-07,41
2019-04-14,41
2019-04-21,46
2019-04-28,41
2019-05-05,41
2019-05-12,40
2019-05-19,42
2019-05-26,38
2019-06-02,51
2019-06-09,43
2019-06-16,44
2019-06-23,35
2019-06-30,30
2019-07-07,34
2019-07-14,38
2019-07-21,34
2019-07-28,33
2019-08-04,36
2019-08-11,38
2019-08-18,34
2019-08-25,36
2019-09-01,36
2019-09-08,39
2019-09-15,42
2019-09-22,39
2019-09-29,38
2019-10-06,42
2019-10-13,39
2019-10-20,41
2019-10-27,36
2019-11-03,42
2019-11-10,38
2019-11-17,41
2019-11-24,27
2019-12-01,38
2019-12-08,35
2019-12-15,34
2019-12-22,22
2019-12-29,28
2020-01-05,39
2020-01-12,39
2020-01-19,41
2020-01-26,44
2020-02-02,40
2020-02-09,42
2020-02-16,48
2020-02-23,41
2020-03-01,44
2020-03-08,36
2020-03-15,34
2020-03-22,41
2020-03-29,36
2020-04-05,37
2020-04-12,42
2020-04-19,40
2020-04-26,40
2020-05-03,40
2020-05-10,50
2020-05-17,42
2020-05-24,35
2020-05-31,40
2020-06-07,42
2020-06-14,38
2020-06-21,37
2020-06-28,34
2020-07-05,39
2020-07-12,45
2020-07-19,43
2020-07-26,45
2020-08-02,45
2020-08-09,40
2020-08-16,39
2020-08-23,42
2020-08-30,46
2020-09-06,41
2020-09-13,41
2020-09-20,44
2020-09-27,39
2020-10-04,46
2020-10-11,40
2020-10-18,36
2020-10-25,37
2020-11-01,31
2020-11-08,38
2020-11-15,40
2020-11-22,27
2020-11-29,39
2020-12-06,42
2020-12-13,44
2020-12-20,29
2020-12-27,27
2021-01-03,44
2021-01-10,52
2021-01-17,50
2021-01-24,54
2021-01-31,71
2021-02-07,100
2021-02-14,64
2021-02-21,84
2021-02-28,75
2021-03-07,67
2021-03-14,58
2021-03-21,75
2021-03-28,68
2021-04-04,70
2021-04-11,75
2021-04-18,66
2021-04-25,72
2021-05-02,78
2021-05-09,72
2021-05-16,71
2021-05-23,61
2021-05-30,55
2021-06-06,60
2021-06-13,60
2021-06-20,50
2021-06-27,50
2021-07-04,48
2021-07-11,55
2021-07-18,58
2021-07-25,52
2021-08-01,61
2021-08-08,50
2021-08-15,48
2021-08-22,58
2021-08-29,63
2021-09-05,56
2021-09-12,52
2021-09-19,56
2021-09-26,57
2021-10-03,55
2021-10-10,58
2021-10-17,58
2021-10-24,63
2021-10-31,66
2021-11-07,61
2021-11-14,58
2021-11-21,44
2021-11-28,55
2021-12-05,58
2021-12-12,52
2021-12-19,34
2021-12-26,37
2022-01-02,52
2022-01-09,54
2022-01-16,57
2022-01-23,73
2022-01-30,64
2022-02-06,65
2022-02-13,68
2022-02-20,63
2022-02-27,66
2022-03-06,55
2022-03-13,56
2022-03-20,56
2022-03-27,60
2022-04-03,55
2022-04-10,51
2022-04-17,56
2022-04-24,57
