DATE,DTWEXBGS
2017-04-24,114.3652
2017-04-25,114.5113
2017-04-26,114.948
2017-04-27,114.9951
2017-04-28,114.7882
2017-05-01,114.5924
2017-05-02,114.6797
2017-05-03,114.664
2017-05-04,114.9084
2017-05-05,114.7734
2017-05-08,115.0903
2017-05-09,115.3938
2017-05-10,115.1146
2017-05-11,115.0669
2017-05-12,114.7479
2017-05-15,114.3504
2017-05-16,113.9924
2017-05-17,113.7512
2017-05-18,114.2701
2017-05-19,113.7014
2017-05-22,113.5456
2017-05-23,113.6874
2017-05-24,113.6757
2017-05-25,113.3726
2017-05-26,113.4838
2017-05-29,.
2017-05-30,113.5557
2017-05-31,113.2962
2017-06-01,113.302
2017-06-02,113.1915
2017-06-05,112.9761
2017-06-06,112.7099
2017-06-07,112.8197
2017-06-08,112.8354
2017-06-09,112.9556
2017-06-12,112.9831
2017-06-13,112.6261
2017-06-14,112.0727
2017-06-15,112.8699
2017-06-16,112.6145
2017-06-19,112.7563
2017-06-20,113.2685
2017-06-21,113.3318
2017-06-22,113.1642
2017-06-23,112.8657
2017-06-26,112.7623
2017-06-27,112.5494
2017-06-28,112.0744
2017-06-29,111.9981
2017-06-30,111.9897
2017-07-03,112.4268
2017-07-04,.
2017-07-05,112.6534
2017-07-06,112.42
2017-07-07,112.3132
2017-07-10,112.158
2017-07-11,112.1427
2017-07-12,111.5892
2017-07-13,111.5352
2017-07-14,110.9066
2017-07-17,110.9296
2017-07-18,110.4349
2017-07-19,110.4329
2017-07-20,110.2504
2017-07-21,110.1902
2017-07-24,110.1998
2017-07-25,110.2831
2017-07-26,110.3805
2017-07-27,110.2154
2017-07-28,109.9197
2017-07-31,109.8181
2017-08-01,109.8498
2017-08-02,109.7508
2017-08-03,109.8336
2017-08-04,110.2807
2017-08-07,110.373
2017-08-08,110.3956
2017-08-09,110.367
2017-08-10,110.1884
2017-08-11,110.0421
2017-08-14,110.0947
2017-08-15,110.4839
2017-08-16,110.4385
2017-08-17,110.1666
2017-08-18,110.04
2017-08-21,109.7342
2017-08-22,109.8373
2017-08-23,109.8082
2017-08-24,109.7511
2017-08-25,109.3405
2017-08-28,109.181
2017-08-29,109.0944
2017-08-30,109.4047
2017-08-31,109.3676
2017-09-01,109.0492
2017-09-04,.
2017-09-05,108.8654
2017-09-06,108.4885
2017-09-07,107.9211
2017-09-08,107.8071
2017-09-11,108.1518
2017-09-12,108.3233
2017-09-13,108.6618
2017-09-14,108.6175
2017-09-15,108.315
2017-09-18,108.6402
2017-09-19,108.6147
2017-09-20,108.4336
2017-09-21,108.9274
2017-09-22,108.7548
2017-09-25,109.3307
2017-09-26,109.7772
2017-09-27,110.0726
2017-09-28,110.2425
2017-09-29,110.0876
2017-10-02,110.3688
2017-10-03,110.3284
2017-10-04,110.2427
2017-10-05,110.5821
2017-10-06,110.7839
2017-10-09,.
2017-10-10,110.3037
2017-10-11,110.3042
2017-10-12,110.3156
2017-10-13,110.2678
2017-10-16,110.5443
2017-10-17,110.9149
2017-10-18,110.7218
