Date,Close/Last,Volume,Open,High,Low,Assets,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Other Short Term Assets,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Liabilities,Payables & Accruals,Short Term Debt,Other Short Term Liabilities,Total Current Liabilities,Long Term Debt,Other Long Term Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital & Additional Paid-In Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority Interest,Total Equity,Total Liabilities & Equity
2017-04-17,52.89,10467010,52.99,53.13,52.75,,10666.065934065935,2457.043956043956,1937.4285714285713,916.967032967033,15977.505494505494,2409.78021978022,18955.945054945056,15675.604395604396,37041.32967032967,53018.83516483517,,2455.153846153846,1792.7802197802198,4124.263736263736,8372.197802197803,9935.703296703297,3482.4285714285716,13418.131868131868,21790.32967032967,0.0,237.2087912087912,30806.736263736264,193.73626373626374,31237.68131868132,-9.175824175824175,31228.505494505494,53018.83516483517
2017-04-18,52.67,11260040,52.6,52.98,52.39,,10656.945054945056,2480.2967032967035,1939.142857142857,913.5274725274726,15989.912087912087,2418.5164835164833,18954.879120879123,15696.329670329671,37069.72527472527,53059.63736263736,,2451.5384615384614,1795.5164835164835,4148.780219780219,8395.835164835165,9935.747252747253,3498.142857142857,13433.89010989011,21829.725274725275,0.0,238.65934065934067,30806.21978021978,194.2197802197802,31239.0989010989,-9.186813186813186,31229.91208791209,53059.63736263736
2017-04-19,52.61,15330730,53.0,53.1,52.3,,10647.824175824177,2503.5494505494507,1940.857142857143,910.0879120879121,16002.318681318682,2427.252747252747,18953.813186813186,15717.054945054944,37098.12087912088,53100.43956043956,,2447.923076923077,1798.2527472527472,4173.2967032967035,8419.472527472528,9935.791208791208,3513.8571428571427,13449.648351648351,21869.120879120877,0.0,240.1098901098901,30805.703296703297,194.7032967032967,31240.516483516483,-9.197802197802197,31231.31868131868,53100.43956043956
2017-04-20,52.66,24654290,53.22,53.4,51.4,,10638.703296703297,2526.802197802198,1942.5714285714287,906.6483516483516,16014.725274725275,2435.989010989011,18952.747252747253,15737.78021978022,37126.51648351648,53141.241758241755,,2444.3076923076924,1800.989010989011,4197.813186813187,8443.10989010989,9935.835164835165,3529.5714285714284,13465.406593406593,21908.516483516483,0.0,241.56043956043956,30805.186813186814,195.1868131868132,31241.934065934067,-9.208791208791208,31232.725274725275,53141.241758241755
2017-04-21,52.5,10949060,52.77,52.8,52.21,,10629.582417582418,2550.054945054945,1944.2857142857142,903.2087912087912,16027.131868131868,2444.7252747252746,18951.68131868132,15758.505494505494,37154.91208791209,53182.043956043955,,2440.6923076923076,1803.7252747252746,4222.32967032967,8466.747252747253,9935.87912087912,3545.285714285714,13481.164835164835,21947.91208791209,0.0,243.01098901098902,30804.67032967033,195.67032967032966,31243.351648351647,-9.219780219780219,31234.13186813187,53182.043956043955
2017-04-24,52.81,10704410,53.01,53.25,52.75,,10602.21978021978,2619.813186813187,1949.4285714285713,892.8901098901099,16064.351648351649,2470.934065934066,18948.483516483517,15820.681318681318,37240.0989010989,53304.45054945055,,2429.846153846154,1811.934065934066,4295.879120879121,8537.65934065934,9936.010989010989,3592.4285714285716,13528.439560439561,22066.0989010989,0.0,247.36263736263737,30803.120879120877,197.12087912087912,31247.604395604394,-9.252747252747254,31238.351648351647,53304.45054945055
2017-04-25,53.0,11405940,53.17,53.49,52.96,,10593.098901098901,2643.065934065934,1951.142857142857,889.4505494505495,16076.758241758242,2479.6703296703295,18947.417582417584,15841.406593406593,37268.494505494506,53345.25274725274,,2426.230769230769,1814.6703296703297,4320.395604395604,8561.296703296703,9936.054945054944,3608.142857142857,13544.197802197803,22105.494505494506,0.0,248.8131868131868,30802.604395604394,197.6043956043956,31249.021978021978,-9.263736263736265,31239.75824175824,53345.25274725274
2017-04-26,53.04,7364855,53.2,53.3,52.91,,10583.978021978022,2666.3186813186812,1952.857142857143,886.010989010989,16089.164835164835,2488.4065934065934,18946.351648351647,15862.131868131868,37296.89010989011,53386.054945054944,,2422.6153846153848,1817.4065934065934,4344.912087912088,8584.934065934067,9936.098901098901,3623.8571428571427,13559.956043956045,22144.89010989011,0.0,250.26373626373626,30802.08791208791,198.0879120879121,31250.43956043956,-9.274725274725276,31241.164835164836,53386.054945054944
2017-04-27,53.21,6953922,53.24,53.34,52.91,,10574.857142857143,2689.5714285714284,1954.5714285714287,882.5714285714286,16101.57142857143,2497.142857142857,18945.285714285714,15882.857142857143,37325.28571428572,53426.857142857145,,2419.0,1820.142857142857,4369.428571428572,8608.57142857143,9936.142857142857,3639.5714285714284,13575.714285714286,22184.285714285714,0.0,251.71428571428572,30801.571428571428,198.57142857142858,31251.85714285714,-9.285714285714286,31242.571428571428,53426.857142857145
2017-04-28,53.74,34366230,51.8,53.95,51.05,,10565.736263736264,2712.8241758241757,1956.2857142857142,879.1318681318681,16113.978021978022,2505.879120879121,18944.21978021978,15903.582417582418,37353.681318681316,53467.65934065934,,2415.3846153846152,1822.8791208791208,4393.945054945055,8632.208791208792,9936.186813186812,3655.285714285714,13591.472527472528,22223.68131868132,0.0,253.16483516483515,30801.054945054944,199.05494505494505,31253.274725274725,-9.296703296703297,31243.978021978022,53467.65934065934
2017-05-01,53.6,12957180,53.65,53.7,53.095,,10538.373626373626,2782.5824175824173,1961.4285714285713,868.8131868131868,16151.197802197803,2532.087912087912,18941.021978021978,15965.758241758242,37438.868131868134,53590.06593406593,,2404.5384615384614,1831.0879120879122,4467.494505494506,8703.12087912088,9936.318681318682,3702.4285714285716,13638.747252747253,22341.86813186813,0.0,257.5164835164835,30799.505494505494,200.5054945054945,31257.527472527472,-9.32967032967033,31248.197802197803,53590.06593406593
