Date,Close/Last,Volume,Open,High,Low,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash From Acquisitions & Divestitures,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash From (Repayment of) Debt,Cash From (Repurchase of) Equity,Other Financing Activities,Cash from Financing Activities,Net Cash Before Disc. Operations and FX,Change in Cash from Disc. Operations and Other,Net Cash Before FX,Effect of Foreign Exchange Rates,Net Changes in Cash
2017-04-17,52.89,10467010,52.99,53.13,52.75,693.1318681318681,331.2857142857143,149.64835164835165,277.2527472527472,1451.3186813186812,-127.76923076923077,2562.3076923076924,,-1859.3846153846155,575.1538461538462,-783.8241758241758,43.78021978021978,-279.7692307692308,-178.65934065934067,-1198.4725274725274,828.0,,828.0,-12.076923076923077,815.9230769230769
2017-04-18,52.67,11260040,52.6,52.98,52.39,693.8901098901099,331.42857142857144,149.62637362637363,267.9560439560439,1442.901098901099,-127.6923076923077,2549.076923076923,,-1852.8461538461538,568.5384615384615,-783.8131868131868,46.51648351648352,-277.6923076923077,-176.45054945054943,-1191.4395604395604,820.0,,820.0,-11.76923076923077,808.2307692307693
2017-04-19,52.61,15330730,53.0,53.1,52.3,694.6483516483516,331.57142857142856,149.6043956043956,258.6593406593406,1434.4835164835165,-127.61538461538461,2535.846153846154,,-1846.3076923076924,561.9230769230769,-783.8021978021978,49.252747252747255,-275.61538461538464,-174.24175824175825,-1184.4065934065934,812.0,,812.0,-11.461538461538462,800.5384615384615
2017-04-20,52.66,24654290,53.22,53.4,51.4,695.4065934065934,331.7142857142857,149.58241758241758,249.36263736263734,1426.065934065934,-127.53846153846153,2522.6153846153848,,-1839.7692307692307,555.3076923076924,-783.7912087912088,51.98901098901099,-273.53846153846155,-172.03296703296704,-1177.3736263736264,804.0,,804.0,-11.153846153846153,792.8461538461538
2017-04-21,52.5,10949060,52.77,52.8,52.21,696.1648351648352,331.85714285714283,149.56043956043956,240.06593406593404,1417.6483516483518,-127.46153846153847,2509.3846153846152,,-1833.2307692307693,548.6923076923077,-783.7802197802198,54.72527472527473,-271.46153846153845,-169.82417582417582,-1170.3406593406594,796.0,,796.0,-10.846153846153847,785.1538461538462
2017-04-24,52.81,10704410,53.01,53.25,52.75,698.4395604395604,332.2857142857143,149.4945054945055,212.17582417582415,1392.3956043956043,-127.23076923076923,2469.6923076923076,,-1813.6153846153845,528.8461538461538,-783.7472527472528,62.934065934065934,-265.2307692307692,-163.1978021978022,-1149.2417582417584,772.0,,772.0,-9.923076923076923,762.0769230769231
2017-04-25,53.0,11405940,53.17,53.49,52.96,699.1978021978022,332.42857142857144,149.47252747252747,202.87912087912088,1383.9780219780218,-127.15384615384616,2456.4615384615386,,-1807.076923076923,522.2307692307693,-783.7362637362637,65.67032967032966,-263.15384615384613,-160.98901098901098,-1142.2087912087911,764.0,,764.0,-9.615384615384615,754.3846153846154
2017-04-26,53.04,7364855,53.2,53.3,52.91,699.9560439560439,332.57142857142856,149.45054945054946,193.58241758241758,1375.5604395604396,-127.07692307692308,2443.230769230769,,-1800.5384615384614,515.6153846153846,-783.7252747252747,68.4065934065934,-261.0769230769231,-158.78021978021977,-1135.1758241758241,756.0,,756.0,-9.307692307692307,746.6923076923076
2017-04-27,53.21,6953922,53.24,53.34,52.91,700.7142857142857,332.7142857142857,149.42857142857142,184.28571428571428,1367.142857142857,-127.0,2430.0,,-1794.0,509.0,-783.7142857142857,71.14285714285714,-259.0,-156.57142857142856,-1128.142857142857,748.0,,748.0,-9.0,739.0
2017-04-28,53.74,34366230,51.8,53.95,51.05,701.4725274725274,332.85714285714283,149.4065934065934,174.98901098901098,1358.7252747252746,-126.92307692307692,2416.769230769231,,-1787.4615384615386,502.38461538461536,-783.7032967032967,73.87912087912088,-256.9230769230769,-154.36263736263737,-1121.10989010989,740.0,,740.0,-8.692307692307692,731.3076923076923
2017-05-01,53.6,12957180,53.65,53.7,53.095,703.7472527472528,333.2857142857143,149.34065934065933,147.09890109890108,1333.4725274725274,-126.6923076923077,2377.076923076923,,-1767.8461538461538,482.53846153846155,-783.6703296703297,82.08791208791209,-250.69230769230768,-147.73626373626374,-1100.010989010989,716.0,,716.0,-7.769230769230768,708.2307692307693
2017-05-02,53.29,10270480,53.65,53.725,52.9,704.5054945054945,333.42857142857144,149.3186813186813,137.80219780219778,1325.0549450549452,-126.61538461538461,2363.846153846154,,-1761.3076923076924,475.9230769230769,-783.6593406593406,84.82417582417582,-248.6153846153846,-145.52747252747253,-1092.978021978022,708.0,,708.0,-7.461538461538462,700.5384615384615
2017-05-03,54.49,18350090,53.41,54.77,53.25,705.2637362637363,333.57142857142856,149.2967032967033,128.50549450549448,1316.6373626373627,-126.53846153846153,2350.6153846153848,,-1754.7692307692307,469.3076923076923,-783.6483516483516,87.56043956043956,-246.53846153846155,-143.3186813186813,-1085.9450549450548,700.0,,700.0,-7.153846153846153,692.8461538461538
2017-05-04,54.91,11993090,54.73,55.0,54.5,706.021978021978,333.7142857142857,149.27472527472528,119.20879120879118,1308.2197802197802,-126.46153846153847,2337.3846153846152,,-1748.2307692307693,462.69230769230774,-783.6373626373627,90.2967032967033,-244.46153846153845,-141.1098901098901,-1078.9120879120878,692.0,,692.0,-6.846153846153845,685.1538461538462
2017-05-05,54.93,9073450,54.93,55.0,54.695,706.7802197802198,333.85714285714283,149.25274725274724,109.91208791208788,1299.8021978021977,-126.38461538461539,2324.153846153846,,-1741.6923076923076,456.0769230769231,-783.6263736263736,93.03296703296704,-242.38461538461536,-138.9010989010989,-1071.8791208791208,684.0,,684.0,-6.538461538461538,677.4615384615385
2017-05-08,54.62,7025309,54.99,55.0,54.56,709.054945054945,334.2857142857143,149.1868131868132,82.02197802197799,1274.5494505494505,-126.15384615384616,2284.4615384615386,,-1722.076923076923,436.2307692307693,-783.5934065934066,101.24175824175825,-236.15384615384613,-132.27472527472526,-1050.7802197802198,660.0,,660.0,-5.615384615384615,654.3846153846154
2017-05-09,55.15,8313475,54.69,55.19,54.63,709.8131868131868,334.42857142857144,149.16483516483515,72.72527472527469,1266.131868131868,-126.07692307692308,2271.2307692307695,,-1715.5384615384614,429.61538461538464,-783.5824175824176,103.97802197802199,-234.07692307692307,-130.06593406593407,-1043.7472527472528,652.0,,652.0,-5.307692307692307,646.6923076923076
2017-05-10,55.33,8496878,55.22,55.4273,54.8627,710.5714285714286,334.57142857142856,149.14285714285714,63.42857142857139,1257.7142857142858,-126.0,2258.0,,-1709.0,423.0,-783.5714285714286,106.71428571428572,-232.0,-127.85714285714285,-1036.7142857142858,644.0,,644.0,-5.0,639.0
2017-05-11,54.68,13514130,55.25,55.3,54.41,711.3296703296703,334.7142857142857,149.12087912087912,54.13186813186809,1249.2967032967033,-125.92307692307692,2244.769230769231,,-1702.4615384615386,416.3846153846154,-783.5604395604396,109.45054945054946,-229.9230769230769,-125.64835164835165,-1029.6813186813188,636.0,,636.0,-4.692307692307692,631.3076923076924
2017-05-12,55.32,9100734,54.5,55.35,54.4,712.0879120879121,334.85714285714283,149.0989010989011,44.83516483516479,1240.8791208791208,-125.84615384615384,2231.5384615384614,,-1695.923076923077,409.7692307692308,-783.5494505494505,112.18681318681318,-227.84615384615384,-123.43956043956044,-1022.6483516483516,628.0,,628.0,-4.384615384615383,623.6153846153845
2017-05-15,55.4,10657680,55.08,55.49,55.075,714.3626373626373,335.2857142857143,149.03296703296704,16.945054945054892,1215.6263736263736,-125.61538461538461,2191.846153846154,,-1676.3076923076924,389.92307692307696,-783.5164835164835,120.3956043956044,-221.6153846153846,-116.8131868131868,-1001.5494505494505,604.0,,604.0,-3.46153846153846,600.5384615384615
2017-05-16,55.95,9491650,55.39,55.98,55.1,715.1208791208791,335.42857142857144,149.01098901098902,7.648351648351593,1207.2087912087911,-125.53846153846153,2178.6153846153848,,-1669.7692307692307,383.3076923076923,-783.5054945054945,123.13186813186813,-219.53846153846155,-114.60439560439559,-994.5164835164835,596.0,,596.0,-3.1538461538461533,592.8461538461538
2017-05-17,55.36,14809650,55.64,56.075,55.3,715.8791208791208,335.57142857142856,148.98901098901098,-1.6483516483517064,1198.7912087912086,-125.46153846153847,2165.3846153846152,,-1663.2307692307693,376.69230769230774,-783.4945054945055,125.86813186813187,-217.46153846153845,-112.3956043956044,-987.4835164835165,588.0,,588.0,-2.846153846153845,585.1538461538462
2017-05-18,56.12,13125030,55.58,56.31,55.02,716.6373626373627,335.7142857142857,148.96703296703296,-10.945054945055006,1190.3736263736264,-125.38461538461539,2152.153846153846,,-1656.6923076923076,370.0769230769231,-783.4835164835165,128.60439560439562,-215.38461538461536,-110.18681318681318,-980.4505494505495,580.0,,580.0,-2.5384615384615383,577.4615384615385
2017-05-19,57.67,16541850,56.49,57.79,56.2,717.3956043956044,335.85714285714283,148.94505494505495,-20.241758241758248,1181.956043956044,-125.3076923076923,2138.923076923077,,-1650.1538461538462,363.46153846153845,-783.4725274725274,131.34065934065933,-213.3076923076923,-107.97802197802197,-973.4175824175825,572.0,,572.0,-2.23076923076923,569.7692307692307
2017-05-22,59.28,20767670,58.39,59.54,58.38,719.6703296703297,336.2857142857143,148.87912087912088,-48.131868131868146,1156.7032967032967,-125.07692307692308,2099.2307692307695,,-1630.5384615384614,343.61538461538464,-783.4395604395604,139.54945054945054,-207.07692307692307,-101.35164835164835,-952.3186813186813,548.0,,548.0,-1.3076923076923066,546.6923076923076
2017-05-23,59.22,14210560,59.38,59.89,59.13,720.4285714285714,336.42857142857144,148.85714285714286,-57.428571428571445,1148.2857142857142,-125.0,2086.0,,-1624.0,337.0,-783.4285714285714,142.28571428571428,-205.0,-99.14285714285714,-945.2857142857142,540.0,,540.0,-1.0,539.0
2017-05-24,58.64,8624834,59.28,59.62,58.57,721.1868131868132,336.57142857142856,148.83516483516485,-66.72527472527474,1139.868131868132,-124.92307692307692,2072.769230769231,,-1617.4615384615386,330.3846153846154,-783.4175824175824,145.02197802197801,-202.9230769230769,-96.93406593406593,-938.2527472527472,532.0,,532.0,-0.6923076923076898,531.3076923076924
2017-05-25,58.45,9549459,58.65,58.95,58.261,721.945054945055,336.7142857142857,148.8131868131868,-76.02197802197804,1131.4505494505495,-124.84615384615384,2059.5384615384614,,-1610.923076923077,323.7692307692308,-783.4065934065934,147.75824175824175,-200.84615384615384,-94.72527472527472,-931.2197802197802,524.0,,524.0,-0.38461538461538325,523.6153846153845
2017-05-26,57.52,8223461,57.66,57.978,57.37,722.7032967032967,336.85714285714283,148.7912087912088,-85.31868131868134,1123.032967032967,-124.76923076923077,2046.3076923076924,,-1604.3846153846155,317.1538461538462,-783.3956043956044,150.4945054945055,-198.76923076923077,-92.5164835164835,-924.1868131868132,516.0,,516.0,-0.07692307692307665,515.9230769230769
2017-05-30,57.34,11545990,57.28,57.74,57.17,725.7362637362637,337.42857142857144,148.7032967032967,-122.50549450549454,1089.3626373626373,-124.46153846153847,1993.3846153846155,,-1578.2307692307693,290.69230769230774,-783.3516483516484,161.43956043956044,-190.46153846153845,-83.68131868131869,-896.054945054945,484.0,,484.0,1.1538461538461533,485.15384615384613
2017-05-31,57.27,14009010,57.26,57.73,57.0,726.4945054945055,337.57142857142856,148.6813186813187,-131.80219780219784,1080.9450549450548,-124.38461538461539,1980.1538461538462,,-1571.6923076923076,284.0769230769231,-783.3406593406594,164.17582417582418,-188.38461538461536,-81.47252747252747,-889.021978021978,476.0,,476.0,1.4615384615384635,477.46153846153845
2017-06-01,58.62,11526420,57.45,58.65,57.35,727.2527472527472,337.7142857142857,148.65934065934067,-141.09890109890114,1072.5274725274726,-124.3076923076923,1966.9230769230771,,-1565.1538461538462,277.4615384615385,-783.3296703296703,166.9120879120879,-186.3076923076923,-79.26373626373626,-881.9890109890109,468.0,,468.0,1.76923076923077,469.7692307692308
2017-06-02,58.58,9525357,58.89,58.96,58.35,728.010989010989,337.85714285714283,148.63736263736263,-150.39560439560444,1064.10989010989,-124.23076923076923,1953.6923076923076,,-1558.6153846153848,270.84615384615387,-783.3186813186813,169.64835164835165,-184.23076923076923,-77.05494505494505,-874.9560439560439,460.0,,460.0,2.0769230769230766,462.07692307692304
2017-06-05,58.86,7960848,58.5,59.05,58.48,730.2857142857143,338.2857142857143,148.57142857142858,-178.28571428571433,1038.857142857143,-124.0,1914.0,,-1539.0,251.0,-783.2857142857143,177.85714285714286,-178.0,-70.42857142857142,-853.8571428571429,436.0,,436.0,3.0,439.0
2017-06-06,58.2,7870567,58.6,58.91,58.18,731.0439560439561,338.42857142857144,148.54945054945054,-187.58241758241763,1030.4395604395604,-123.92307692307692,1900.769230769231,,-1532.4615384615386,244.38461538461542,-783.2747252747253,180.5934065934066,-175.9230769230769,-68.2197802197802,-846.8241758241759,428.0,,428.0,3.30769230769231,431.3076923076923
2017-06-07,57.53,10104420,58.3,58.49,57.13,731.8021978021978,338.57142857142856,148.52747252747253,-196.87912087912093,1022.021978021978,-123.84615384615384,1887.5384615384614,,-1525.923076923077,237.76923076923077,-783.2637362637363,183.32967032967034,-173.84615384615384,-66.010989010989,-839.7912087912089,420.0,,420.0,3.6153846153846168,423.61538461538464
2017-06-08,58.12,10299310,57.77,58.15,57.61,732.5604395604396,338.7142857142857,148.5054945054945,-206.17582417582423,1013.6043956043956,-123.76923076923077,1874.3076923076924,,-1519.3846153846155,231.1538461538462,-783.2527472527472,186.06593406593407,-171.76923076923075,-63.80219780219778,-832.7582417582418,412.0,,412.0,3.9230769230769234,415.9230769230769
2017-06-09,57.05,13622010,58.37,58.49,56.74,733.3186813186813,338.85714285714283,148.4835164835165,-215.47252747252753,1005.1868131868132,-123.6923076923077,1861.076923076923,,-1512.8461538461538,224.53846153846155,-783.2417582417582,188.8021978021978,-169.69230769230768,-61.59340659340657,-825.7252747252747,404.0,,404.0,4.2307692307692335,408.23076923076917
