Date,Close/Last,Volume,Open,High,Low,CrudeOilUSDM
2017-04-17,52.89,10467010,52.99,53.13,52.75,51.894097101449276
2017-04-18,52.67,11260040,52.6,52.98,52.39,51.821009420289855
2017-04-19,52.61,15330730,53.0,53.1,52.3,51.74792173913044
2017-04-20,52.66,24654290,53.22,53.4,51.4,51.67483405797102
2017-04-21,52.5,10949060,52.77,52.8,52.21,51.6017463768116
2017-04-24,52.81,10704410,53.01,53.25,52.75,51.38248333333334
2017-04-25,53.0,11405940,53.17,53.49,52.96,51.30939565217392
2017-04-26,53.04,7364855,53.2,53.3,52.91,51.2363079710145
2017-04-27,53.21,6953922,53.24,53.34,52.91,51.163220289855076
2017-04-28,53.74,34366230,51.8,53.95,51.05,51.090132608695654
2017-05-01,53.6,12957180,53.65,53.7,53.095,50.8708695652174
2017-05-02,53.29,10270480,53.65,53.725,52.9,50.742601045518306
2017-05-03,54.49,18350090,53.41,54.77,53.25,50.61433252581921
2017-05-04,54.91,11993090,54.73,55.0,54.5,50.48606400612012
2017-05-05,54.93,9073450,54.93,55.0,54.695,50.357795486421026
2017-05-08,54.62,7025309,54.99,55.0,54.56,49.972989927323745
2017-05-09,55.15,8313475,54.69,55.19,54.63,49.84472140762465
2017-05-10,55.33,8496878,55.22,55.4273,54.8627,49.716452887925556
2017-05-11,54.68,13514130,55.25,55.3,54.41,49.588184368226464
2017-05-12,55.32,9100734,54.5,55.35,54.4,49.459915848527366
2017-05-15,55.4,10657680,55.08,55.49,55.075,49.075110289430086
2017-05-16,55.95,9491650,55.39,55.98,55.1,48.946841769730995
2017-05-17,55.36,14809650,55.64,56.075,55.3,48.8185732500319
2017-05-18,56.12,13125030,55.58,56.31,55.02,48.69030473033281
2017-05-19,57.67,16541850,56.49,57.79,56.2,48.562036210633714
2017-05-22,59.28,20767670,58.39,59.54,58.38,48.17723065153643
2017-05-23,59.22,14210560,59.38,59.89,59.13,48.04896213183734
2017-05-24,58.64,8624834,59.28,59.62,58.57,47.92069361213825
2017-05-25,58.45,9549459,58.65,58.95,58.261,47.79242509243915
2017-05-26,57.52,8223461,57.66,57.978,57.37,47.66415657274006
2017-05-30,57.34,11545990,57.28,57.74,57.17,47.15108249394369
2017-05-31,57.27,14009010,57.26,57.73,57.0,47.02281397424459
2017-06-01,58.62,11526420,57.45,58.65,57.35,46.8945454545455
2017-06-02,58.58,9525357,58.89,58.96,58.35,46.95439393939398
2017-06-05,58.86,7960848,58.5,59.05,58.48,47.133939393939436
2017-06-06,58.2,7870567,58.6,58.91,58.18,47.193787878787916
2017-06-07,57.53,10104420,58.3,58.49,57.13,47.2536363636364
2017-06-08,58.12,10299310,57.77,58.15,57.61,47.31348484848488
2017-06-09,57.05,13622010,58.37,58.49,56.74,47.37333333333336
2017-06-12,57.49,9984865,56.52,57.675,56.48,47.55287878787882
2017-06-13,57.54,7105149,57.95,58.065,57.5,47.6127272727273
2017-06-14,57.01,6725290,57.7,57.97,56.67,47.672575757575785
2017-06-15,56.93,5409133,56.42,57.17,56.4,47.732424242424266
2017-06-16,56.82,14520010,56.98,57.01,56.35,47.792272727272746
2017-06-19,57.61,7095308,56.96,57.66,56.91,47.9718181818182
2017-06-20,56.79,8166550,57.46,57.61,56.51,48.03166666666668
2017-06-21,56.33,8317061,56.79,56.84,56.12,48.09151515151517
2017-06-22,56.47,5540624,56.24,56.745,56.06,48.15136363636365
2017-06-23,56.91,11847780,56.64,57.4365,56.57,48.211212121212135
2017-06-26,56.56,7338463,57.09,57.6892,56.21,48.39075757575758
2017-06-27,55.43,6813046,56.29,56.33,55.41,48.45060606060606
2017-06-28,56.16,7534000,55.4,56.32,55.18,48.51045454545455
2017-06-29,55.08,8455545,55.93,55.93,54.55,48.57030303030303
2017-06-30,55.22,8754158,55.6,55.63,55.03,48.63015151515152
2017-07-03,54.95,4379566,55.53,56.02,54.92,48.862875175315565
2017-07-05,55.45,6817608,55.01,55.56,54.78,49.03575035063113
2017-07-06,54.79,5660766,55.02,55.23,54.735,49.12218793828892
2017-07-07,55.35,5170545,55.04,55.73,54.87,49.2086255259467
2017-07-10,55.64,5085958,55.37,55.885,55.19,49.46793828892005
2017-07-11,55.33,6114802,55.63,55.63,55.02,49.554375876577836
2017-07-12,56.2,6121077,55.79,56.31,55.72,49.64081346423562
2017-07-13,56.23,6219216,56.38,56.52,56.17,49.727251051893404
