Date,Close/Last,Volume,Open,High,Low,Revenue,Cost of revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, net",Income (Loss) Including Minority Interest,Minority Interest,Net Income Available to Common Shareholders
2017-04-17,52.89,10467010,52.99,53.13,52.75,5826.1648351648355,-2401.6813186813188,3424.4835164835167,-2655.098901098901,769.3846153846154,98.32967032967034,867.7142857142857,-174.75824175824175,692.9560439560439,0.8241758241758241,693.7802197802198
2017-04-18,52.67,11260040,52.6,52.98,52.39,5815.3626373626375,-2399.098901098901,3416.263736263736,-2647.4175824175823,768.8461538461538,98.72527472527473,867.5714285714286,-173.86813186813185,693.7032967032967,0.8131868131868132,694.5164835164835
2017-04-19,52.61,15330730,53.0,53.1,52.3,5804.56043956044,-2396.5164835164837,3408.043956043956,-2639.736263736264,768.3076923076923,99.12087912087912,867.4285714285714,-172.97802197802199,694.4505494505495,0.8021978021978022,695.2527472527472
2017-04-20,52.66,24654290,53.22,53.4,51.4,5793.758241758242,-2393.934065934066,3399.8241758241757,-2632.054945054945,767.7692307692307,99.51648351648352,867.2857142857143,-172.0879120879121,695.1978021978022,0.7912087912087912,695.989010989011
2017-04-21,52.5,10949060,52.77,52.8,52.21,5782.956043956044,-2391.3516483516482,3391.6043956043954,-2624.3736263736264,767.2307692307693,99.91208791208791,867.1428571428571,-171.1978021978022,695.945054945055,0.7802197802197802,696.7252747252747
2017-04-24,52.81,10704410,53.01,53.25,52.75,5750.549450549451,-2383.6043956043954,3366.945054945055,-2601.3296703296705,765.6153846153846,101.0989010989011,866.7142857142857,-168.52747252747253,698.1868131868132,0.7472527472527473,698.934065934066
2017-04-25,53.0,11405940,53.17,53.49,52.96,5739.747252747253,-2381.021978021978,3358.7252747252746,-2593.6483516483518,765.0769230769231,101.49450549450549,866.5714285714286,-167.63736263736263,698.934065934066,0.7362637362637363,699.6703296703297
2017-04-26,53.04,7364855,53.2,53.3,52.91,5728.945054945055,-2378.4395604395604,3350.5054945054944,-2585.967032967033,764.5384615384615,101.8901098901099,866.4285714285714,-166.74725274725276,699.6813186813187,0.7252747252747253,700.4065934065934
2017-04-27,53.21,6953922,53.24,53.34,52.91,5718.142857142857,-2375.8571428571427,3342.285714285714,-2578.285714285714,764.0,102.28571428571428,866.2857142857143,-165.85714285714286,700.4285714285714,0.7142857142857142,701.1428571428571
2017-04-28,53.74,34366230,51.8,53.95,51.05,5707.340659340659,-2373.2747252747254,3334.065934065934,-2570.6043956043954,763.4615384615385,102.68131868131869,866.1428571428571,-164.96703296703296,701.1758241758241,0.7032967032967032,701.8791208791209
2017-05-01,53.6,12957180,53.65,53.7,53.095,5674.934065934066,-2365.5274725274726,3309.4065934065934,-2547.5604395604396,761.8461538461538,103.86813186813187,865.7142857142857,-162.2967032967033,703.4175824175824,0.6703296703296703,704.0879120879121
2017-05-02,53.29,10270480,53.65,53.725,52.9,5664.131868131868,-2362.945054945055,3301.186813186813,-2539.879120879121,761.3076923076923,104.26373626373626,865.5714285714286,-161.4065934065934,704.1648351648352,0.6593406593406593,704.8241758241759
2017-05-03,54.49,18350090,53.41,54.77,53.25,5653.32967032967,-2360.3626373626375,3292.967032967033,-2532.197802197802,760.7692307692307,104.65934065934066,865.4285714285714,-160.5164835164835,704.9120879120879,0.6483516483516483,705.5604395604396
2017-05-04,54.91,11993090,54.73,55.0,54.5,5642.527472527472,-2357.78021978022,3284.747252747253,-2524.5164835164833,760.2307692307693,105.05494505494505,865.2857142857143,-159.62637362637363,705.6593406593406,0.6373626373626373,706.2967032967033
2017-05-05,54.93,9073450,54.93,55.0,54.695,5631.725274725275,-2355.197802197802,3276.5274725274726,-2516.835164835165,759.6923076923077,105.45054945054945,865.1428571428571,-158.73626373626374,706.4065934065934,0.6263736263736264,707.032967032967
2017-05-08,54.62,7025309,54.99,55.0,54.56,5599.318681318681,-2347.4505494505493,3251.868131868132,-2493.7912087912086,758.0769230769231,106.63736263736264,864.7142857142857,-156.06593406593407,708.6483516483516,0.5934065934065933,709.2417582417582
2017-05-09,55.15,8313475,54.69,55.19,54.63,5588.516483516483,-2344.868131868132,3243.6483516483518,-2486.1098901098903,757.5384615384615,107.03296703296704,864.5714285714286,-155.17582417582418,709.3956043956044,0.5824175824175823,709.978021978022
2017-05-10,55.33,8496878,55.22,55.4273,54.8627,5577.714285714285,-2342.285714285714,3235.4285714285716,-2478.4285714285716,757.0,107.42857142857143,864.4285714285714,-154.28571428571428,710.1428571428571,0.5714285714285714,710.7142857142857
2017-05-11,54.68,13514130,55.25,55.3,54.41,5566.912087912088,-2339.7032967032965,3227.2087912087914,-2470.747252747253,756.4615384615385,107.82417582417582,864.2857142857143,-153.39560439560438,710.8901098901099,0.5604395604395604,711.4505494505495
2017-05-12,55.32,9100734,54.5,55.35,54.4,5556.10989010989,-2337.120879120879,3218.989010989011,-2463.065934065934,755.9230769230769,108.21978021978022,864.1428571428571,-152.5054945054945,711.6373626373627,0.5494505494505495,712.1868131868132
2017-05-15,55.4,10657680,55.08,55.49,55.075,5523.7032967032965,-2329.3736263736264,3194.3296703296705,-2440.021978021978,754.3076923076923,109.4065934065934,863.7142857142857,-149.83516483516485,713.8791208791208,0.5164835164835164,714.3956043956044
2017-05-16,55.95,9491650,55.39,55.98,55.1,5512.9010989010985,-2326.7912087912086,3186.1098901098903,-2432.3406593406594,753.7692307692307,109.80219780219781,863.5714285714286,-148.94505494505495,714.6263736263736,0.5054945054945055,715.1318681318681
2017-05-17,55.36,14809650,55.64,56.075,55.3,5502.0989010989015,-2324.2087912087914,3177.8901098901097,-2424.6593406593406,753.2307692307693,110.19780219780219,863.4285714285714,-148.05494505494505,715.3736263736264,0.4945054945054944,715.8681318681319
2017-05-18,56.12,13125030,55.58,56.31,55.02,5491.2967032967035,-2321.6263736263736,3169.67032967033,-2416.978021978022,752.6923076923077,110.5934065934066,863.2857142857143,-147.16483516483515,716.1208791208792,0.48351648351648346,716.6043956043956
2017-05-19,57.67,16541850,56.49,57.79,56.2,5480.494505494506,-2319.043956043956,3161.4505494505493,-2409.2967032967035,752.1538461538462,110.98901098901099,863.1428571428571,-146.27472527472528,716.8681318681319,0.4725274725274725,717.3406593406594
2017-05-22,59.28,20767670,58.39,59.54,58.38,5448.087912087912,-2311.2967032967035,3136.7912087912086,-2386.252747252747,750.5384615384615,112.17582417582418,862.7142857142857,-143.60439560439562,719.1098901098901,0.43956043956043955,719.5494505494505
