,MSE,Mean,Max,Min
0,180.00614603746817,174.94656371101973,1397.1660188563533,61.166090863708966
1,86.17422097091945,,,
2,119.00915224060529,,,
3,61.166090863708966,,,
4,69.37282182626927,,,
5,132.290850752589,,,
6,79.93308985372128,,,
7,107.56092389595285,,,
8,1397.1660188563533,,,
9,89.27698382593462,,,
10,99.96392436440617,,,
11,182.8150395687441,,,
12,112.68823206574721,,,
13,150.32036067870513,,,
14,87.89587258991075,,,
15,94.54107547382982,,,
16,106.12463601098301,,,
17,125.91268040387881,,,
18,79.99421272900005,,,
19,90.83308519984182,,,
20,128.70006626762486,,,
21,122.38194583103495,,,
22,120.55781444021832,,,
23,83.45705214952062,,,
24,100.11153557248933,,,
25,124.68513079287195,,,
26,181.96496038215201,,,
27,98.52425995146429,,,
28,96.79763894525293,,,
29,169.50025683665484,,,
30,87.63879753707823,,,
31,94.8874755253683,,,
32,86.60243837156021,,,
33,94.09601847074056,,,
34,99.87696337667553,,,
35,100.4900333872282,,,
36,122.54133683764657,,,
37,68.57925322235778,,,
38,104.1981455750163,,,
39,77.66918160820502,,,
40,67.78726210777356,,,
41,119.60495727970105,,,
42,131.61725210031702,,,
43,88.02685621491904,,,
44,153.72478768217795,,,
45,67.84003280515903,,,
46,190.3262104061947,,,
47,1394.6704247405976,,,
48,114.20098411890382,,,
49,171.24692532437328,,,
50,145.16360128979147,,,
51,90.44833565404166,,,
52,178.19503290202144,,,
53,108.70893079839946,,,
54,1395.519636785597,,,
55,78.03576281578938,,,
56,93.8532183274077,,,
57,84.1442741942264,,,
58,104.29625196053671,,,
59,83.44229980524112,,,
60,90.18556540276612,,,
61,74.50893042147624,,,
62,64.72919357967344,,,
63,100.66862477394746,,,
64,149.43941332218455,,,
65,121.38304375147786,,,
66,181.0688185705325,,,
67,136.48208810194745,,,
68,83.70728535833759,,,
69,176.3056749654926,,,
70,142.018959264533,,,
71,162.1510772821288,,,
72,96.44432817897501,,,
73,92.10518132612933,,,
74,142.58451484274167,,,
75,150.71497593834462,,,
76,91.72441923800488,,,
77,114.76284291794872,,,
78,1391.4274753140708,,,
79,140.22689218247666,,,
80,84.4499920334379,,,
81,108.29696889158464,,,
82,138.715361107834,,,
83,93.99140640222295,,,
84,96.50150814882952,,,
85,1389.4608655359125,,,
86,64.1572248257023,,,
87,62.81746734042594,,,
88,110.32427037413898,,,
89,98.84351238280989,,,
90,66.75878846857785,,,
91,81.7813940434191,,,
92,184.86356137734822,,,
93,90.19173001083313,,,
94,93.90714295216976,,,
95,108.26119021905633,,,
96,70.27826394042805,,,
97,105.29730075755401,,,
98,103.43147033995407,,,
99,162.52888661364847,,,
